micros,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,
3325564,-102.54,-676.76,-685.55,-3.82,1.74,-0.09,-32.55,18.60,-67.20,
3345574,-110.84,-692.38,-697.75,2.46,-1.05,1.59,-32.25,16.50,-66.75,
3365582,-132.32,-727.05,-704.59,4.73,0.70,-1.44,-32.55,16.80,-67.50,
3385589,-145.02,-756.35,-709.96,1.25,-2.11,-0.96,-32.70,15.45,-66.00,
3405595,-132.81,-716.31,-717.77,-0.17,-1.73,1.28,-33.15,17.10,-68.25,
3425604,-109.86,-715.33,-706.54,-0.20,3.60,-4.15,-32.85,16.35,-67.20,
3445615,-111.33,-696.78,-679.20,1.37,2.27,-0.14,-31.80,17.55,-66.15,
3465623,-123.54,-726.07,-661.13,-2.89,4.09,0.40,-31.95,17.25,-66.75,
3485634,-116.21,-727.54,-661.62,-2.23,2.06,-1.39,-33.15,14.85,-65.85,
3505646,-100.59,-732.91,-660.64,-2.06,-1.92,-0.06,-33.30,16.95,-68.10,
3525657,-120.61,-742.19,-698.24,0.20,-3.30,-0.46,-33.15,15.60,-66.15,
3545668,-113.28,-723.63,-673.34,-1.07,-2.49,0.63,-33.15,16.05,-66.90,
3565674,-100.10,-713.87,-653.81,-0.75,-4.92,-0.31,-32.10,16.35,-67.95,
3585682,-76.66,-727.54,-659.67,-2.90,-7.01,2.12,-31.65,17.25,-67.80,
3605686,-135.25,-700.20,-706.54,-3.82,-4.92,1.04,-32.55,18.60,-67.50,
3625697,-140.62,-699.71,-717.29,-2.76,-5.65,1.83,-31.65,15.90,-67.35,
3645707,-129.39,-721.19,-729.98,0.00,-5.69,2.56,-33.30,15.45,-66.30,
3665711,-104.98,-718.26,-678.22,-1.44,-3.16,3.40,-31.80,15.60,-67.95,
3685723,-81.05,-682.62,-647.46,-3.05,-1.02,5.15,-31.80,16.35,-67.95,
3705731,-89.84,-730.96,-654.30,-2.46,-2.70,2.40,-32.10,17.10,-68.25,
3725739,-88.87,-716.31,-665.53,-9.51,-0.58,8.15,-32.25,15.90,-67.80,
3745749,-102.05,-722.66,-625.49,-30.95,-1.69,20.43,-31.05,16.35,-68.25,
3765754,-109.86,-727.54,-609.86,-35.05,-6.46,17.45,-31.65,16.50,-68.40,
3785763,-159.67,-716.80,-712.40,-22.89,-9.69,8.41,-30.30,17.55,-70.65,
3805774,-162.60,-680.66,-734.38,-27.62,-5.22,11.53,-31.80,17.85,-68.25,
3825786,-136.23,-657.71,-756.35,-34.50,-1.98,18.79,-30.00,16.80,-70.05,
3845798,-159.18,-656.74,-773.93,-35.73,0.18,16.34,-30.60,18.45,-69.75,
3865805,-192.38,-679.69,-760.25,-27.53,1.60,9.56,-31.20,18.00,-71.55,
3885812,-205.08,-662.11,-806.15,-15.05,1.83,-0.79,-28.80,18.75,-70.50,
3905821,-226.56,-604.49,-817.38,-7.28,7.71,-4.89,-28.95,19.35,-71.70,
3925829,-174.32,-626.95,-787.60,-10.06,10.00,-5.50,-30.15,19.05,-71.85,
3945836,-136.72,-655.27,-744.63,-11.53,5.76,-2.46,-28.80,18.00,-70.50,
3965844,-164.55,-634.77,-758.30,-6.87,1.37,-9.04,-29.55,18.45,-70.80,
3985854,-180.18,-591.31,-777.83,-0.44,2.18,-11.27,-29.10,18.45,-72.90,
4005863,-146.48,-576.17,-752.44,-2.20,0.67,-4.85,-30.30,19.35,-72.15,
4025871,-123.54,-554.69,-721.68,-0.47,1.44,-0.24,-30.60,17.70,-71.55,
4045879,-146.00,-656.25,-723.63,2.82,-1.04,-2.81,-29.85,19.50,-72.30,
4065888,-133.30,-655.76,-734.38,7.21,-5.74,-8.93,-30.60,18.75,-72.30,
4085898,-144.04,-630.86,-753.91,1.25,-7.16,-4.21,-29.85,18.45,-72.60,
4105908,-140.62,-573.73,-760.74,-4.47,-5.28,-1.71,-29.85,19.80,-72.30,
4125918,-166.50,-625.00,-775.39,-1.16,-5.98,2.09,-31.05,18.15,-72.75,
4145923,-164.55,-637.70,-799.80,2.66,-3.74,-3.50,-30.15,19.05,-73.35,
4165932,-174.32,-636.23,-819.82,6.93,-2.26,-3.79,-30.00,18.90,-71.70,
4185942,-154.79,-604.49,-799.80,2.61,1.31,-3.36,-31.05,16.80,-71.40,
4205952,-139.65,-587.89,-766.11,4.81,0.64,0.89,-30.30,18.60,-73.50,
4225958,-136.23,-652.83,-727.05,3.57,1.89,-2.78,-29.70,17.55,-72.45,
4245968,-128.42,-632.81,-737.30,2.93,1.40,-5.95,-32.70,16.50,-70.80,
4265979,-141.11,-645.02,-742.68,0.46,1.18,-4.31,-30.00,17.55,-72.15,
4285989,-137.21,-656.74,-740.72,1.94,1.01,-3.44,-30.60,18.00,-71.55,
4305995,-135.25,-644.53,-736.33,-1.13,2.78,-0.90,-29.85,19.50,-74.40,
4326002,-121.58,-689.45,-755.37,0.27,-1.28,-3.86,-29.85,19.05,-71.85,
4346010,-152.83,-650.88,-773.93,1.94,2.14,-5.15,-30.90,18.45,-72.60,
4366016,-142.58,-628.42,-786.13,-0.98,0.18,-2.73,-31.65,17.70,-71.85,
4386020,-114.75,-618.65,-740.72,-4.37,4.78,-5.63,-31.20,18.75,-70.80,
4406030,-128.42,-650.39,-741.70,-0.14,2.79,-2.14,-29.10,18.00,-72.30,
4426042,-143.07,-670.41,-737.30,-2.84,1.77,-6.78,-31.20,17.70,-71.85,
4446047,-146.48,-625.00,-750.98,2.73,-1.85,-0.46,-31.35,17.10,-72.45,
4466058,-144.53,-624.51,-748.54,2.12,0.78,0.37,-29.85,17.25,-72.30,
4486064,-128.91,-634.28,-736.33,1.60,-1.63,1.65,-30.90,17.25,-73.65,
4506075,-129.39,-666.50,-734.86,1.27,-0.37,-3.51,-30.60,18.00,-71.55,
4526084,-136.23,-639.16,-736.82,3.54,1.36,-0.63,-31.20,17.25,-70.50,
4546091,-124.51,-664.06,-731.93,1.48,-1.60,2.11,-30.30,17.55,-72.75,
4566103,-138.67,-640.62,-741.21,2.21,-3.54,-0.64,-31.05,18.60,-71.10,
4586110,-154.79,-663.57,-752.44,0.29,-0.76,1.37,-31.05,17.85,-71.70,
4606116,-153.81,-627.44,-762.70,4.44,-1.71,-2.50,-30.15,18.45,-72.30,
4626128,-144.53,-613.77,-743.16,0.15,-0.41,0.93,-31.35,20.10,-70.65,
4646137,-141.60,-635.74,-761.72,0.60,-0.56,-0.56,-31.05,17.85,-71.10,
4666144,-133.30,-661.62,-753.91,1.37,1.53,1.13,-30.60,18.45,-72.30,
4686148,-159.67,-696.78,-760.25,1.37,4.38,-5.86,-32.70,17.70,-69.45,
4706158,-133.79,-629.39,-749.51,0.37,2.09,-2.84,-32.25,18.45,-70.80,
